Customer_ID,Order_Date,Region,Product,Revenue,Cost,Discount,Return_Status
CUST00000,2025-01-01 00:00:00.000000,South,Product B,3809.71,2418.76,0.086,False
CUST00001,2025-01-01 01:18:21.100220,West,Product B,4099.85,2291.37,0.011,False
CUST00002,2025-01-01 02:36:42.200440,East,Product D,5311.06,3217.16,0.118,False
CUST00003,2025-01-01 03:55:03.300660,South,Product A,4060.9,2712.78,0.151,False
CUST00004,2025-01-01 05:13:24.400880,North,Product D,5890.11,3025.4,0.083,False
CUST00005,2025-01-01 06:31:45.501100,North,Product A,4943.1,2548.96,0.084,False
CUST00006,2025-01-01 07:50:06.601320,North,Product C,5068.48,3098.02,0.018,False
CUST00007,2025-01-01 09:08:27.701540,West,Product C,4777.3,2999.3,0.04,False
CUST00008,2025-01-01 10:26:48.801760,East,Product A,5618.28,3046.69,0.031,False
CUST00009,2025-01-01 11:45:09.901980,East,Product B,5626.53,3651.86,0.096,False
CUST00010,2025-01-01 13:03:31.002200,North,Product A,5268.04,3314.93,0.106,False
CUST00011,2025-01-01 14:21:52.102420,West,Product C,5451.83,3732.64,0.19,False
CUST00012,2025-01-01 15:40:13.202640,West,Product B,4830.33,2578.38,0.015,False
CUST00013,2025-01-01 16:58:34.302860,North,Product C,5433.76,3533.44,0.12,False
CUST00014,2025-01-01 18:16:55.403080,North,Product A,4729.7,2443.97,0.105,False
CUST00015,2025-01-01 19:35:16.503300,North,Product A,5001.79,3066.39,0.103,False
CUST00016,2025-01-01 20:53:37.603520,South,Product A,4780.29,2917.79,0.175,False
CUST00017,2025-01-01 22:11:58.703740,South,Product A,4634.23,2677.09,0.041,False
CUST00018,2025-01-01 23:30:19.803960,South,Product B,4448.71,2975.81,0.008,False
CUST00019,2025-01-02 00:48:40.904180,North,Product D,5374.15,2691.77,0.134,False
CUST00020,2025-01-02 02:07:02.004400,East,Product C,6048.48,3653.5,0.069,False
CUST00021,2025-01-02 03:25:23.104620,North,Product B,5936.88,3226.28,0.004,False
CUST00022,2025-01-02 04:43:44.204840,North,Product D,3994.75,2591.39,0.05,False
CUST00023,2025-01-02 06:02:05.305061,South,Product C,6031.36,3067.63,0.062,False
CUST00024,2025-01-02 07:20:26.405281,South,Product D,4745.47,3161.96,0.123,False
CUST00025,2025-01-02 08:38:47.505501,East,Product B,5480.59,3658.94,0.035,False
CUST00026,2025-01-02 09:57:08.605721,North,Product A,4275.03,2849.62,0.083,False
CUST00027,2025-01-02 11:15:29.705941,South,Product A,5113.58,2712.83,0.096,False
CUST00028,2025-01-02 12:33:50.806161,South,Product C,5250.98,3287.54,0.092,False
CUST00029,2025-01-02 13:52:11.906381,North,Product A,3812.32,1917.11,0.195,False
CUST00030,2025-01-02 15:10:33.006601,East,Product A,5486.61,3673.8,0.009,False
CUST00031,2025-01-02 16:28:54.106821,North,Product B,6076.75,3917.04,0.19,False
CUST00032,2025-01-02 17:47:15.207041,North,Product B,4860.28,2946.45,0.116,False
CUST00033,2025-01-02 19:05:36.307261,West,Product C,6088.13,3933.66,0.159,False
CUST00034,2025-01-02 20:23:57.407481,West,Product A,4848.25,2515.58,0.086,False
CUST00035,2025-01-02 21:42:18.507701,West,Product B,-5679.67,3440.35,0.091,False
CUST00036,2025-01-02 23:00:39.607921,South,Product C,3225.14,1800.45,0.176,False
CUST00037,2025-01-03 00:19:00.708141,North,Product D,6935.02,4816.54,0.179,False
CUST00038,2025-01-03 01:37:21.808361,East,Product C,6196.37,4160.39,0.048,False
CUST00039,2025-01-03 02:55:42.908581,South,Product D,4772.3,3086.03,0.04,False
CUST00040,2025-01-03 04:14:04.008801,North,Product C,3422.33,2350.28,0.099,False
CUST00041,2025-01-03 05:32:25.109021,South,Product B,5230.42,2978.04,0.18,False
CUST00042,2025-01-03 06:50:46.209241,North,Product A,3844.86,2615.18,0.064,False
CUST00043,2025-01-03 08:09:07.309461,West,Product C,5355.88,3026.33,0.13,True
CUST00044,2025-01-03 09:27:28.409681,North,Product C,5329.25,3445.68,0.142,False
CUST00045,2025-01-03 10:45:49.509901,East,Product C,4246.88,2748.93,0.156,True
CUST00046,2025-01-03 12:04:10.610122,South,Product B,5896.77,2970.03,0.113,False
CUST00047,2025-01-03 13:22:31.710342,South,Product B,5644.46,3229.83,0.08,False
CUST00048,2025-01-03 14:40:52.810562,South,Product A,5780.66,2912.8,0.193,False
CUST00049,2025-01-03 15:59:13.910782,North,Product B,5007.09,3502.05,0.122,False
CUST00050,2025-01-03 17:17:35.011002,West,Product A,3867.58,2028.31,0.146,False
CUST00051,2025-01-03 18:35:56.111222,East,Product C,5782.3,3518.89,0.069,False
CUST00052,2025-01-03 19:54:17.211442,West,Product A,4783.7,3148.21,0.134,False
CUST00053,2025-01-03 21:12:38.311662,West,Product A,3888.18,2100.6,0.052,False
CUST00054,2025-01-03 22:30:59.411882,South,Product B,6081.63,3630.8,0.049,False
CUST00055,2025-01-03 23:49:20.512102,West,Product C,6679.53,4151.23,0.143,False
CUST00056,2025-01-04 01:07:41.612322,North,Product B,4967.0,2642.65,0.104,False
CUST00057,2025-01-04 02:26:02.712542,North,Product A,6727.3,4411.16,0.137,False
CUST00058,2025-01-04 03:44:23.812762,North,Product B,5073.05,2840.24,0.054,False
CUST00059,2025-01-04 05:02:44.912982,South,Product A,4695.64,2546.0,0.12,False
CUST00060,2025-01-04 06:21:06.013202,South,Product D,4495.63,2749.79,0.089,False
CUST00061,2025-01-04 07:39:27.113422,North,Product D,6309.67,3672.62,0.119,False
CUST00062,2025-01-04 08:57:48.213642,West,Product B,4375.88,2993.36,0.058,False
CUST00063,2025-01-04 10:16:09.313862,South,Product A,5588.22,3777.7,0.143,False
CUST00064,2025-01-04 11:34:30.414082,North,Product C,4552.67,2716.44,0.161,False
CUST00065,2025-01-04 12:52:51.514302,South,Product A,4631.75,2648.68,0.052,True
CUST00066,2025-01-04 14:11:12.614522,North,Product B,5824.2,3291.28,0.06,False
CUST00067,2025-01-04 15:29:33.714742,West,Product A,4695.97,2599.28,0.132,False
CUST00068,2025-01-04 16:47:54.814962,North,Product D,4676.16,2847.36,0.139,False
CUST00069,2025-01-04 18:06:15.915183,West,Product A,5906.24,3904.0,0.141,False
CUST00070,2025-01-04 19:24:37.015403,East,Product B,6277.92,3529.14,0.137,False
CUST00071,2025-01-04 20:42:58.115623,North,Product C,5515.75,2967.58,0.079,False
CUST00072,2025-01-04 22:01:19.215843,North,Product B,4476.18,2663.76,0.079,False
CUST00073,2025-01-04 23:19:40.316063,West,Product A,4591.51,2359.15,0.051,False
CUST00074,2025-01-05 00:38:01.416283,East,Product D,5063.93,3242.21,0.031,False
CUST00075,2025-01-05 01:56:22.516503,East,Product B,5256.74,3173.35,0.139,False
CUST00076,2025-01-05 03:14:43.616723,East,Product C,4209.71,2522.77,0.019,False
CUST00077,2025-01-05 04:33:04.716943,North,Product A,5578.43,3124.42,0.188,False
CUST00078,2025-01-05 05:51:25.817163,South,Product B,5068.41,3451.26,0.165,False
CUST00079,2025-01-05 07:09:46.917383,North,Product B,3627.43,1879.36,0.172,False
CUST00080,2025-01-05 08:28:08.017603,West,Product A,4256.86,2868.97,0.181,False
CUST00081,2025-01-05 09:46:29.117823,East,Product A,4596.7,2644.67,0.082,False
CUST00082,2025-01-05 11:04:50.218043,South,Product C,4941.71,3341.21,0.169,False
CUST00083,2025-01-05 12:23:11.318263,North,Product A,6511.42,4204.77,0.032,False
CUST00084,2025-01-05 13:41:32.418483,South,Product A,5190.54,2703.41,0.004,False
CUST00085,2025-01-05 14:59:53.518703,South,Product B,4327.38,2883.37,0.157,False
CUST00086,2025-01-05 16:18:14.618923,East,Product C,5176.5,3294.51,0.015,False
CUST00087,2025-01-05 17:36:35.719143,East,Product A,4718.33,2389.65,0.198,False
CUST00088,2025-01-05 18:54:56.819363,West,Product B,-5259.81,2770.55,0.135,False
CUST00089,2025-01-05 20:13:17.919583,South,Product A,5464.45,3426.9,0.151,False
CUST00090,2025-01-05 21:31:39.019803,North,Product A,5967.38,3774.49,0.049,False
CUST00091,2025-01-05 22:50:00.120024,East,Product A,4980.57,3234.04,0.135,False
CUST00092,2025-01-06 00:08:21.220244,East,Product C,6311.17,4064.7,0.009,False
CUST00093,2025-01-06 01:26:42.320464,South,Product A,5726.42,3618.55,0.168,True
CUST00094,2025-01-06 02:45:03.420684,East,Product A,4434.05,2896.53,0.034,False
CUST00095,2025-01-06 04:03:24.520904,South,Product B,6767.88,4162.36,0.139,False
CUST00096,2025-01-06 05:21:45.621124,South,Product C,5261.6,2905.23,0.045,False
CUST00097,2025-01-06 06:40:06.721344,South,Product A,4331.9,2956.42,0.014,False
CUST00098,2025-01-06 07:58:27.821564,North,Product B,6322.33,3184.2,0.096,False
CUST00099,2025-01-06 09:16:48.921784,North,Product A,6662.22,3819.53,0.034,False
CUST00100,2025-01-06 10:35:10.022004,North,Product B,4973.58,3211.81,0.146,False
CUST00101,2025-01-06 11:53:31.122224,East,Product B,4597.08,2691.27,0.048,False
CUST00102,2025-01-06 13:11:52.222444,South,Product B,4862.1,2455.2,0.068,False
CUST00103,2025-01-06 14:30:13.322664,South,Product A,5571.79,2859.42,0.113,False
CUST00104,2025-01-06 15:48:34.422884,West,Product A,6022.29,3792.4,0.057,False
CUST00105,2025-01-06 17:06:55.523104,North,Product A,5456.39,3781.13,0.076,False
CUST00106,2025-01-06 18:25:16.623324,South,Product B,5081.38,3101.53,0.163,False
CUST00107,2025-01-06 19:43:37.723544,East,Product A,6198.41,3727.42,0.036,False
CUST00108,2025-01-06 21:01:58.823764,North,Product C,4749.73,2677.26,0.016,False
CUST00109,2025-01-06 22:20:19.923984,North,Product D,5824.74,3211.4,0.066,False
CUST00110,2025-01-06 23:38:41.024204,North,Product D,4769.55,2404.79,0.085,False
CUST00111,2025-01-07 00:57:02.124424,North,Product D,5344.82,2964.19,0.109,False
